restaurant_id;user;title;text;visit_date;score;response
1. Xalet Suis;xavimi67;Clasico y seguro;Apuesta segura en Lleida.\nNo falla. Alta calidad, buen servicio y trato, local correcto, buena materia prima.\nHistorico en la ciudad y mantiene cada año el nivel.\nNo es barato, pero pagas acorde a lo que comandas.\nNota global : 8.5.;2019-11;4;
1. Xalet Suis;Ana S;Muy recomendable;He conocido este restaurante en compañía de la familia y amigos y me ha sorprendido gratamente, disfrutamos de una comida especial. Personal muy atento y amable. Relación calidad-precio muy buena debido a la materia prima de la comida, muy variada y una carta de postres impresionante. La presentación excelente. Un sitio muy recomendable.;2019-10;5;
1. Xalet Suis;MariaPaBe;DELICIOSO;Sin palabras, la comida y la calidad del producto es excelente. El servicio es amable y te sientes como en casa. No es barato, pero después de disfrutar de su cocina no importa pagar por qué vale la pena. Espero que volvamos muy pronto!;2018-12;5;
1. Xalet Suis;montsetes;Mi santo;Mi primera vez, y ha sido una grata sorpresa\nUn trato genial, i todo bueniiisimo\nVale la pena dejarte aconsejar;2019-04;4;
1. Xalet Suis;Jose Maria M;Hemos repetido y repetiremos;Hacía ya 6 años que no habíamos estado en este restaurante y volviendo del pirineo aragonés decidimos ir a comer al mismo y a pesar de los años continua teniendo un nivel alto, buenos platos bien condimentados y presentados y un servicio impecable. Recomendable.;2019-09;4;
1. Xalet Suis;jrberbis;Cena aniversario boda;Hemos acudido a este restaurante, cada aniversario de boda. Y tengo que decir que no se nota el paso del tiempo.\nComo siempre el trato agradable, la comida de primera calidad, bien cocinada y bien presentada.\nEn esta ocasión degustamos de entrante pulpo a la gallega y como no, los deliciosos raviolis con bogavante plato espectacular con unos sabores que no he encontrado en ningún otro restaurante, seguido de rape a la plancha y unas gambas rojas de Tarragona. Regado con un alvariño muy bueno.\nSeguiremos celebrando nuestros aniversarios aquí, que para nosotros es el mejor restaurante de la ciudad. Y así lo avalan los años que llevan sin haber decaido la calidad y el buen hacer.;2019-09;4;
1. Xalet Suis;Anna N;Cena celebración;Excelente. La cena fue exquisita, productos frescos, menú tradicional, pero con un toque de modernidad. La atención personalizada. Ambiente agradable.;2019-01;5;
1. Xalet Suis;Suscripciones M;Excelente en todo sentido!;Calidad inmejorable y excelente servicio. \n\n Cada platillo fresco, muy bien presentado y a un muy buen precio.;2019-09;5;
1. Xalet Suis;aportando;Brutales raviolis de bogavante;Creo que con el título del comentario no hace falta que diga mucho más. El resto de platos también son muy buenos. ;2019-09;5;
1. Xalet Suis;gdelrio10;RECOMENDABLE 100%;De los mejores restaurantes de Lleida sino el mejor, primera vez que fui con mi pareja y todo excepcional, y la atención del servicio de 10. Volveremos seguro;2019-06;5;
1. Xalet Suis;Ricky1181;Nunca decepciona;El trato es inigualable, la comida muy acertada, elaborada y rica rica.\nSi que el local no es muy grande pero tiene su encanto, además a nosotros es una de las cosas que nos gusta ya que evita las multitudes.;2019-07;5;
1. Xalet Suis;adventurists84;Not cheap, But good quality food;We paid around 80euros for 2 course lunch and a glass of wine. Its tasty food and from fresh ingredients, very cosy and nice staff. No English menu , But you can figure it out. ;2019-07;5;
1. Xalet Suis;erius4;Xalet suís;Trato muy agradable,muy bueno todo, calidad precio excel·lent. Muy recomendable. Si vuelvo a Lleida\nVolveria a ir. Tienen una carta bastantes amplia.;2019-07;4;
1. Xalet Suis;Ramon R;Excelente;En dos ocasiones he tenido la suerte de sentarme en este local, pequeño y muy solicitado. Cocina de alta calidad, atención excelente. Precio elevado pero la carta lo vale. ;2019-07;5;
1. Xalet Suis;SamuelTolivar;Una comida excelente;Un sitio fantástico para comer. Calidad excepcional.el servicio es rápido y muy atento. Merece la pena ir a conocerlo ;2019-07;5;
1. Xalet Suis;Antonio L;Excelente;"Hemos hecho un menú degustación,escogiendo una variedad de platos de la carta. Todos los platos han satisfecho nuestras espectativas; francamente no es barato dado que la calidad que ofrecen tiene un precio. El trato recibido ha sido excelente y aconsejados en todo momento. Sin duda es muy recomendable a todo aquel que busque calidad en la mesa. Volveremos sin dudarlo.";2019-06;5;
1. Xalet Suis;D886SIsandram;Muy buen trato y buena comida;La atencion ha sido excelente, muy amables y atentos en todo momento. La comida muy buena la ensalada de langosta estaba muy buena igual que el confit d’anec. Muy recomendable ;2019-05;4;
1. Xalet Suis;aseguratuaventura;Una palabra .... Excelente;Hoy hemos vuelto a disfrutar, hoy hemos vuelto alucinar , hoy hemos vuelto a chuparnos los dedos , hoy hemos vuelto a Xalet Suisse de lleida .\n\nSin mas .... excelente ;2019-05;5;
1. Xalet Suis;murata352017;SIN DUDA EL MEJOR RESTAURANTE DE LLEIDA.;Restaurante de maximo nivel gastronomico. Relacion calidad precio insuperable. Trato super profesional. Joan Escoda os lo recomienda.;2019-05;5;
1. Xalet Suis;Gvallr;De los mejores restaurantes de Lleida;La ensalada de bogavante y los raviolis de bogavante son deliciosos !!! Y las almendras al curry del aperitivo ...;2019-05;5;
1. Xalet Suis;Jivierbaro;La excelencia nunca cambia, es mas, mejora...;"Como siempre un 10,vivo en esta ciudad y hacia tiempo no repetía. Formidable!!! Para los ""listos del comer""... Junto con Rest LA CLASCA yRest RENO, Son los tres que se llevan la palma!!!!";2019-05;5;
1. Xalet Suis;jaumec729;Bueno;Quizá de los mejores restaurantes de Lleida no para caracoles más afrancesados, comer en este restaurante siempre ha sido un placer por la comida y por el servicio una buena elección;2019-04;4;
1. Xalet Suis;etoilea;"Parada obligada, hacerme caso! ;)";Cada vez que pasamos por Lleida camino de Barcelona pasamos por el Xalet Suis. No tenemos palabras para evaluar. Simplemente probar los Raviolis de Llamantol es el argumento suficiente para justificar lo que es. El mejor Restaurante de Lleida y sin dudarlo uno de los mejores de Catalunya! ;2019-04;5;
1. Xalet Suis;Isaura7791;Buena comida y personal amable;"Nosotros probamos las croquetas de pollo y champiñones, buenísimas; la escalivada, diferente, con mucha variedad y buen punto de cocinado; y el plato de rossejat de fideus, bien y te sirven buena cantidad. El camarero muy atento y simpático.";2019-04;4;
1. Xalet Suis;S_A_L_955;Tranquilidad, calidad y servicio;Un lugar para disfrutar de una restauración de alta calidad, muy tranquilo, con un excelente servicio que se preocupa por atenderte, por que estés tranquilo disfrutando de la comida y nada te incomode.;2019-04;5;
1. Xalet Suis;TREBLA-G62;PUNTUACION DE 11;Escribo otra vez (1ª en 2014) por que tenemos que conservar ese puesto num 1 de Lleida. Ambiente selecto, sereno y acogedor. Camarero muy, muy profesional, amable y siempre atento hasta incluso anticipándose a tus peticiones o deseos e indicándote la composición de los platos. Desde hace casi un año ha tomado las riendas del local la hija el anterior propietario (por jubilación) que ya trabajaba con él en la elaboración culinaria. Resultado: nada ha cambiado, ni en calidad, ni cantidad, ni elaboración-presentación. Exquisitos mis preferidos, ensalada de bogavante y cabrito al tomillo, ESPECTACULARES. También ostras y almejas, calidad, gambas de tarragona, rodaballo, y platos de temporada.\nAunque no ha habido grandes cambios, se mantiene totalmente al dia en todo.\nRE-CO-MEN-DA-BLE TO-TAL-MEN-TE!!!!!;2019-02;5;
1. Xalet Suis;13JMM;Calidad de los productos;Local antiguo que necesita un lavado de imagen aunque lo suple con el producto que es de altísima calidad y de la amabilidad y el buen hacer de las cocineras y el propietario, aconsejándonos y haciéndonos sentir como en casa.\nEnsalada de bogavante espectacular, carpaccio de bacalao y salmón marinado, ravioli de bogavante en salsa de trufa ( simplemente inmejorable).\nEn general buena relación calidad-precio\nRepetiremos;2019-03;4;
1. Xalet Suis;296tonip;Necesita una actualización;Un pequeño restaurant que es un referente en la ciudad de Lleida, el local está un poco anticuado, el servicio impecable, muy atento y rápido, la comida muy buena, disponen de una carta muy amplia y platos fuera de ella, de lo que pedimos sólo una crítica, el pulpo un poco gomoso, pero el steak tartar delicioso. ;2019-03;4;
1. Xalet Suis;mariaherr;De mis favoritos;Somos habituales del restaurante desde hace años y cada vez que reservamos se encargan de darnos la misma mesa. El servicio es excelente con un trato muy familiar y personalizado.\n\nEn la carta puedes encontrar una gran variedad de platos donde cabe destacar la calidad de la materia prima. Además, siempre tienen algún plato fuera de carta como la ensalada de bogavante u ostras, ambos ESPECTACULARES. Recomendar también tanto el steak tartar como el tartar de atún. La carta de vinos también es extensa y variada, con muy buenas opciones.\n\nLa relación calidad precio es muy buena. No se trata de un restaurante barato pero hay que considerar que los productos son de primera. \n\nRecomiendo reservar con bastante antelación, especialmente si se quiere ir un sábado puesto que siempre está lleno.\n\nSin duda volveremos bien pronto.;2019-03;5;
